GENEID,M,BS,V,cluster
LOC_Os01g01340,1.036001512,-0.076383671,-0.959617841,CM
LOC_Os01g01890,1.150321931,-0.488157565,-0.662164366,CM
LOC_Os01g02700,1.143088805,-0.430084204,-0.713004601,CM
LOC_Os01g02710,1.01597053,-0.032745418,-0.983225112,CM
LOC_Os01g03340,1.096771054,-0.235623732,-0.861147323,CM
LOC_Os01g03940,1.039557778,-0.08447472,-0.955083058,CM
LOC_Os01g04630,1.101381879,-0.250327048,-0.851054831,CM
LOC_Os01g05840,0.986084312,0.027273418,-1.01335773,CM
LOC_Os01g06280,0.957466762,0.080232673,-1.037699435,CM
LOC_Os01g08464,1.15458705,-0.563273638,-0.591313412,CM
LOC_Os01g09120,1.147998595,-0.466414818,-0.681583777,CM
LOC_Os01g10450,1.017477495,-0.035923075,-0.98155442,CM
LOC_Os01g10810,1.149978893,-0.484648931,-0.665329963,CM
LOC_Os01g11160,1.00407581,-0.008202076,-0.995873734,CM
LOC_Os01g12200,0.989647489,0.020393088,-1.010040578,CM
LOC_Os01g12530,1.108481187,-0.274147585,-0.834333602,CM
LOC_Os01g12810,0.943842545,0.104161133,-1.048003678,CM
LOC_Os01g12830,0.981703209,0.035640663,-1.017343872,CM
LOC_Os01g12920,1.04396302,-0.094657382,-0.949305637,CM
LOC_Os01g13120,0.960717755,0.074407781,-1.035125537,CM
LOC_Os01g13570,1.015500623,-0.031757807,-0.983742816,CM
LOC_Os01g14410,1.083729031,-0.196685516,-0.887043514,CM
LOC_Os01g14514,1.127938462,-0.349922227,-0.778016235,CM
LOC_Os01g14890,1.011540948,-0.023495986,-0.988044963,CM
LOC_Os01g15120,0.958990874,0.077507595,-1.036498469,CM
LOC_Os01g17390,0.976078706,0.046238448,-1.022317155,CM
LOC_Os01g21990,0.977092878,0.044339225,-1.021432103,CM
LOC_Os01g22520,1.091125998,-0.218327545,-0.872798453,CM
LOC_Os01g23680,1.057929528,-0.128229396,-0.929700132,CM
LOC_Os01g25600,1.024823606,-0.051648922,-0.973174684,CM
LOC_Os01g26970,1.060091209,-0.133617842,-0.926473367,CM
LOC_Os01g28540,0.976847488,0.044799229,-1.021646717,CM
LOC_Os01g28989,1.012143024,-0.02474535,-0.987397674,CM
LOC_Os01g31110,1.099687216,-0.24485833,-0.854828886,CM
LOC_Os01g31360,1.152512556,-0.514724941,-0.637787615,CM
LOC_Os01g31680,0.94718392,0.098362555,-1.045546475,CM
LOC_Os01g38610,1.044787043,-0.096582499,-0.948204544,CM
LOC_Os01g39260,1.109720969,-0.278473928,-0.831247041,CM
LOC_Os01g39970,1.154626405,-0.565981854,-0.588644551,CM
LOC_Os01g40070,1.097219676,-0.237030414,-0.860189261,CM
LOC_Os01g41870,0.995093121,0.009742569,-1.00483569,CM
LOC_Os01g42260,1.133756304,-0.756476366,-0.377279937,CM
LOC_Os01g42280,1.154586543,-0.563242075,-0.591344468,CM
LOC_Os01g43700,1.02300431,-0.047717035,-0.975287274,CM
LOC_Os01g45070,1.103018955,-0.255685393,-0.847333562,CM
LOC_Os01g45274,0.958381335,0.078598641,-1.036979976,CM
LOC_Os01g45620,0.969548427,0.058348136,-1.027896563,CM
LOC_Os01g47330,0.952926925,0.088291092,-1.041218017,CM
LOC_Os01g47900,1.154645808,-0.567586737,-0.587059071,CM
LOC_Os01g48680,1.065833337,-0.148209673,-0.917623665,CM
LOC_Os01g48690,0.938405925,0.113502572,-1.051908497,CM
LOC_Os01g48820,0.956149264,0.082580288,-1.038729552,CM
LOC_Os01g50030,0.947607499,0.097624305,-1.045231804,CM
LOC_Os01g51290,1.140502021,-0.413913698,-0.726588323,CM
LOC_Os01g51530,0.976423147,0.04559399,-1.022017136,CM
LOC_Os01g51860,1.046025624,-0.099488556,-0.946537068,CM
LOC_Os01g52260,1.097145672,-0.236798029,-0.860347643,CM
LOC_Os01g53720,0.93610534,0.117421578,-1.053526918,CM
LOC_Os01g53810,0.954399707,0.085686369,-1.040086076,CM
LOC_Os01g55799,1.000502616,-0.00100599,-0.999496625,CM
LOC_Os01g56200,0.956157891,0.08256494,-1.038722831,CM
