GENEID,BS1,BS2,BS3,BS4,BS5,M1,M2,M3,M4,M5,V1,V2,V3,V4
ChrSy.fgenesh.gene.86,4.626573,9.648456,15.019192,8.436448,6.749482,10.965596,11.036883,9.170529,10.995097,6.212762,0.106451,1.239592,0.989338,0.097035
LOC_Os01g01010,9.158727,4.854565,4.78223,1.522367,19.360357,0.241381,5.816736,7.125749,0.160123,2.083515,10.645059,7.545343,10.257869,7.908341
LOC_Os01g01030,0,0,0,0,0,0,0,0,0,0,4.470925,1.024011,5.25911,7.520201
LOC_Os01g01040,9.725246,8.495489,12.40391,21.820588,8.436853,9.137996,6.811049,11.896903,2.401842,7.64992,36.033523,43.816887,46.811289,39.541704
LOC_Os01g01050,2.738176,0.30341,0,0,10.035414,4.517274,0.646304,7.001823,0.960737,9.826727,6.280585,3.233719,6.040166,0.097035
LOC_Os01g01060,11.897365,4.976021,14.424831,10.402839,5.950201,6.137975,0.994314,2.416558,0.160123,0,23.259453,25.007424,19.5264,29.789701
LOC_Os01g01070,2.171657,5.946843,0.971391,7.675265,6.660673,2.448293,5.617873,4.957043,0.320246,0,12.827295,6.629123,4.530125,9.849038
LOC_Os01g01080,7.459169,5.522068,0.672501,0,3.907595,5.103485,4.126402,5.51471,11.955833,3.420696,17.032094,14.82121,14.26729,18.533658
LOC_Os01g01090,0,0,0,0,7.300179,0,3.281235,0.309832,1.401334,0,0,0.538953,0,0.679244
LOC_Os01g01120,17.559512,16.323476,5.305287,18.775855,16.521388,45.51764,48.166272,67.898621,44.559881,37.938629,2.341913,0,3.176294,0.097035
LOC_Os01g01130,0.757941,0.121364,7.098623,2.473846,0.1747,1.034416,2.394583,7.324505,1.555477,0.684138,2.661265,10.725167,10.934784,15.671129
LOC_Os01g01150,5.381932,17.5978,21.594759,13.764731,16.607279,17.655298,26.995619,8.98464,12.276079,38.03192,39.652843,46.242176,38.792448,50.603678
LOC_Os01g01160,52.875123,45.875643,34.521725,43.197153,44.670915,42.724443,49.367679,59.422552,76.431935,47.485479,11.709564,4.742787,25.670707,17.999966
LOC_Os01g01170,0,0,0,0,0,0.206898,0,1.920854,2.028222,3.203015,0,0,1.718323,0
LOC_Os01g01280,18.695133,23.301914,14.271969,0.761183,31.26076,12.310433,19.886275,33.583966,27.060748,21.239412,3.725771,1.994126,5.415322,3.541772
LOC_Os01g01295,3.021436,10.194587,0.896668,8.373016,7.548763,0.034483,1.193177,2.912263,0.533743,8.893809,6.174134,9.431679,5.571533,7.035027
LOC_Os01g01302,31.913913,24.94033,17.111418,7.167809,26.198648,18.069094,26.697325,27.015884,38.215968,35.824016,7.34509,5.712903,2.447309,3.056598
LOC_Os01g01307,16.334636,7.767305,3.960284,2.791005,13.232538,10.241452,8.600814,3.655819,3.629449,7.027975,61.901016,24.737948,25.514496,19.115867
LOC_Os01g01312,4.154474,0,0,3.552189,3.019505,0.34483,0.397726,0,0.053374,0,6.599936,6.144065,0,1.164418
LOC_Os01g01340,24.360324,51.645043,33.998669,15.731122,49.4666,100.753471,81.832023,111.471502,163.965716,104.95317,34.170638,24.145515,28.382956,16.156304
LOC_Os01g01369,1.605138,2.366601,2.166948,0.063432,7.371145,2.379327,1.143461,3.717782,0,0,7.930569,14.551734,17.339443,10.770869
LOC_Os01g01380,0.28326,3.762288,0,0,3.639034,0,1.441982,2.726374,0,3.353822,3.140031,0.053897,0.572774,1.50404
LOC_Os01g01390,12.652261,6.796392,5.529454,0,0.088809,2.586225,3.330951,4.08956,5.123929,2.207904,9.580553,15.953012,13.694515,5.967644
LOC_Os01g01410,5.570772,9.891177,4.259174,0,1.687371,8.137989,2.137775,7.373601,0.106749,0.031097,15.595011,9.647261,13.538304,22.948744
LOC_Os01g01420,39.549164,22.820313,22.803887,15.839552,16.656154,38.998365,44.87337,36.155632,36.203958,43.483847,64.469689,69.070708,74.823188,67.335954
LOC_Os01g01450,175.904202,202.860152,88.695428,211.164935,182.680065,30.586425,34.552403,37.487637,47.449714,20.897342,1275.863501,1272.899444,1086.709244,1205.949207
LOC_Os01g01484,8.592207,12.92528,1.195558,15.731122,13.498964,21.413946,22.570923,16.915909,35.814126,20.92844,22.567524,29.157363,39.469363,14.894851
LOC_Os01g01510,1.416298,0.242728,1.718614,0,5.861392,0,1.491471,0.061963,0.213497,3.140821,12.241818,7.760925,9.528883,1.989215
LOC_Os01g01520,0.18884,0,0,0,0.088809,0.034483,0,0,0,0,3.087067,5.012264,3.85321,0
LOC_Os01g01570,1.321878,8.920264,3.586673,8.182721,0.088809,0,2.088059,3.655819,0.800614,0,13.040197,10.671271,16.818739,4.172499
LOC_Os01g01580,0,0,0,0,0,0,0,0,0,0,3.299968,0,2.55145,1.115901
LOC_Os01g01610,0,2.548647,0.597779,0,0,0.896558,0.198863,3.407967,0,1.585959,0.585478,2.64087,5.25911,0
LOC_Os01g01620,19.733751,19.296898,13.973079,29.368989,5.506157,7.586261,0.397726,5.452747,2.50859,4.291419,9.314426,8.299878,10.309939,17.999966
LOC_Os01g01640,17.278835,11.468911,6.426122,2.410414,13.321346,0.103449,5.518441,4.08956,11.422091,6.965781,30.551318,41.553284,44.363981,35.951415
LOC_Os01g01660,1.227458,4.429791,3.213061,0,0.088809,0.103449,0,2.664411,0.053374,0,0,3.395405,2.759731,0
LOC_Os01g01670,0.566519,0.060682,6.3514,7.928993,4.973303,2.034497,0,0.867483,5.123929,2.954237,22.301398,33.90015,26.347622,29.353044
LOC_Os01g01680,0.09442,0,0.074722,4.440236,8.170426,0.034483,0,0.061963,0.213497,0.031097,18.894979,25.923644,17.964288,20.522872
LOC_Os01g01689,0.09442,0.060682,2.988894,0,9.236134,3.379334,0,3.531893,0,1.585959,13.465999,13.743304,18.537062,4.075464
LOC_Os01g01700,36.729326,24.090781,19.278366,16.619169,20.692492,21.655327,21.725756,18.650874,19.695101,26.557039,57.909119,56.42839,38.792448,54.824694
LOC_Os01g01710,118.308087,123.791418,92.506268,78.211585,76.642147,135.000964,143.230898,159.926596,126.603736,178.8713,23.578805,39.828634,39.833856,44.441965
