GENEID,BS1,BS2,BS3,BS4,BS5,M1,M2,M3,M4,M5,V1,V2,V3,V4
ChrSy.fgenesh.gene.86,7.481271015,8.059703849,8.748988132,8.346187351,7.941099474,8.719142684,8.649550342,8.435504839,8.576841012,8.000500885,6.149742229,6.609694446,6.547369561,6.144767159
LOC_Os01g01010,8.020336135,7.50950691,7.686610153,7.067281444,8.993291053,6.434855716,8.027018324,8.191062708,6.322406864,7.204121714,7.721316439,7.498467907,7.742665603,7.527624428
LOC_Os01g01030,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,7.14132537,6.551613925,7.274036761,7.492047261
LOC_Os01g01040,8.073874317,7.947917683,8.547326831,9.385632219,8.139565673,8.528007846,8.170232531,8.704956237,7.309334385,8.188057498,8.87943777,9.150982302,9.251130837,9.026662066
LOC_Os01g01050,7.151745403,6.367046685,5.962948544,5.962948544,8.303286013,7.871324401,6.703030288,8.174697562,6.83249549,8.430412517,7.345255078,6.994209981,7.36147315,6.144767159
LOC_Os01g01060,8.260876211,7.527042867,8.70542999,8.556932528,7.835085841,8.140559496,6.875705787,7.340420785,6.322406864,5.962948544,8.418635676,8.536964556,8.309682222,8.714408481
LOC_Os01g01070,7.027536402,7.65853388,6.776024242,8.254841342,7.929751531,7.411023344,7.996370234,7.869750012,6.470001532,5.962948544,7.872407656,7.409735377,7.185205879,7.690799171
LOC_Os01g01080,7.844766023,7.602814032,6.642167013,5.962948544,7.513144448,7.975362513,7.73920765,7.960369191,8.664626722,7.525320113,8.120591348,8.035246774,8.019022502,8.235157898
LOC_Os01g01090,5.962948544,5.962948544,5.962948544,5.962948544,8.007140112,5.962948544,7.565221181,6.472459794,7.001344466,5.962948544,5.962948544,6.391403752,5.962948544,6.442108433
LOC_Os01g01120,8.652694725,8.568022522,7.768238916,9.207973288,8.817038203,10.44269311,10.42261641,10.85006395,10.23471709,9.98689573,6.826740456,5.962948544,6.995129573,6.144767159
LOC_Os01g01130,6.599963217,6.219022652,8.013186338,7.351146395,6.308753731,6.926255294,7.346998372,8.215235456,7.057036059,6.688635184,6.881952587,7.762367624,7.793835949,8.079961486
LOC_Os01g01150,7.589613567,8.646557186,9.155221831,8.855726694,8.822897442,9.254825122,9.680917998,8.415035804,8.692685205,9.990029016,8.986254957,9.213631648,9.033996626,9.312848724
LOC_Os01g01160,9.945462505,9.756652766,9.719526251,10.2411013,10.00366765,10.3593902,10.45487722,10.67080171,10.9518479,10.27654188,7.79733485,7.200348884,8.584461859,8.207578918
LOC_Os01g01170,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,6.400125463,5.962948544,7.199980029,7.206705895,7.479030307,5.962948544,5.962948544,6.729385127,5.962948544
LOC_Os01g01280,8.719161129,8.951894047,8.694322285,6.753120771,9.557194071,8.844592214,9.310320787,9.926177139,9.602828655,9.273470237,7.04338102,6.77919991,7.29211278,7.037150408
LOC_Os01g01295,7.208323845,8.10945155,6.744899228,8.33880928,8.038925176,6.141994,6.95964414,7.464512481,6.61535239,8.331875327,7.334305743,7.661995536,7.309882324,7.445943377
LOC_Os01g01302,9.323946661,9.028501424,8.891486844,8.190256809,9.344095366,9.282107981,9.667162263,9.65361309,10.03622924,9.913970364,7.449074213,7.313205178,6.873244972,6.963882301
LOC_Os01g01307,8.576866934,7.871894028,7.545871756,7.430853033,8.580686558,8.646559978,8.394319958,7.628277911,7.590974945,8.109810778,9.508446801,8.525843795,8.578122448,8.264603114
LOC_Os01g01312,7.407890414,5.962948544,5.962948544,7.601784997,7.339356981,6.525924624,6.545928645,5.962948544,6.170839223,5.962948544,7.377449853,7.359708009,5.962948544,6.588296502
LOC_Os01g01340,9.010733435,9.905524736,9.700553401,9.004667985,10.13463352,11.51880217,11.13402451,11.52744322,12.00479917,11.34202779,8.821092929,8.501053691,8.689930753,8.107595824
LOC_Os01g01369,6.883418822,7.06801255,7.158932575,6.193667501,8.0178227,7.392020241,6.939432028,7.64093981,5.962948544,5.962948544,7.502288034,8.018991748,8.196511662,7.761118804
LOC_Os01g01380,6.355007842,7.337946112,5.962948544,5.962948544,7.46379877,5.962948544,7.054270672,7.419602935,5.962948544,7.512285378,6.95834524,6.09888615,6.408895454,6.672082577
LOC_Os01g01390,8.320176274,7.762745932,7.801616862,5.962948544,6.207761679,7.4480751,7.576196731,7.714211199,7.861600974,7.238453973,7.640201122,8.101368319,7.983059932,7.337200283
LOC_Os01g01410,7.61518762,8.082049682,7.599018737,5.962948544,7.008324927,8.410862979,7.277769219,8.223195663,6.256697112,6.119225288,8.041052834,7.679315723,7.973073916,8.443761103
LOC_Os01g01420,9.583158266,8.928365666,9.21792546,9.013753339,8.828732069,10.24022489,10.32997138,10.02127128,9.966582162,10.16187359,9.557732009,9.697962816,9.822193986,9.658955067
LOC_Os01g01450,11.55161588,11.73855468,10.95144188,12.41101844,11.9021218,9.927817516,9.99139267,10.06655068,10.31645993,9.254361487,13.62970341,13.6897683,13.49215553,13.60426391
LOC_Os01g01484,7.964470069,8.333315367,6.862325835,9.004667985,8.601437027,9.485242956,9.461838879,9.095044558,9.953374549,9.256109362,8.388620915,8.697710052,9.053678348,8.034483025
LOC_Os01g01510,6.829246199,6.324619786,7.034040855,5.962948544,7.822731857,5.962948544,7.072065671,6.191755052,6.377660409,7.465449554,7.833650131,7.518368595,7.685039908,6.77591336
LOC_Os01g01520,6.283390454,5.962948544,5.962948544,5.962948544,6.207761679,6.141994,5.962948544,5.962948544,5.962948544,5.962948544,6.950190617,7.232961679,7.094947675,5.962948544
LOC_Os01g01570,6.800682761,7.990245572,7.475790361,8.316427911,6.207761679,5.962948544,7.263358255,7.628277911,6.758677665,5.962948544,7.88620851,7.758347201,8.168076173,7.124383553
LOC_Os01g01580,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,6.982358285,5.962948544,6.891781356,6.575325982
LOC_Os01g01610,5.962948544,7.107700092,6.603966473,5.962948544,5.962948544,6.861878325,6.376570091,7.576223114,5.962948544,7.053390855,6.399655423,6.898390831,7.274036761,5.962948544
LOC_Os01g01620,8.777399476,8.744745086,8.671834679,9.748921528,7.772042508,8.341600406,6.545928645,7.950615123,7.336895078,7.693963109,7.619029529,7.566659954,7.74667874,8.207578918
LOC_Os01g01640,8.635564251,8.218652194,7.926818862,7.334477075,8.587638387,6.272668317,7.980766818,7.714211199,8.616551916,8.101722151,8.700201971,9.089883198,9.188338423,8.919668913
LOC_Os01g01660,6.770995155,7.445903583,7.401057619,5.962948544,6.207761679,6.272668317,5.962948544,7.404219488,6.170839223,5.962948544,5.962948544,7.018609684,6.927646181,5.962948544
LOC_Os01g01670,6.515724285,6.144138967,7.916849785,8.285990579,7.691835881,7.2916462,5.962948544,6.807836168,7.861600974,7.423689752,8.376896302,8.861048467,8.611598435,8.698640334
LOC_Os01g01680,6.189767575,5.962948544,6.191213294,7.77405094,8.110182955,6.141994,5.962948544,6.191755052,6.377660409,6.119225288,8.216972441,8.574111212,8.229843814,8.333182779
LOC_Os01g01689,6.189767575,6.144138967,7.353654046,5.962948544,8.223958658,7.640438597,5.962948544,7.602539208,5.962948544,7.053390855,7.913363534,7.968952816,8.259677724,7.111477115
LOC_Os01g01700,9.492576673,8.989302676,9.025158097,9.067062817,9.068835504,9.498835938,9.415861213,9.208053111,9.221599385,9.541499032,9.427845257,9.450085863,9.033996626,9.408394826
LOC_Os01g01710,11.00755946,11.0584728,11.00849659,11.03211734,10.71102048,11.92550415,11.90764216,12.02991707,11.64437348,12.08281528,8.432266603,9.041481004,9.064162961,9.160652382
LOC_Os01g01720,6.515724285,7.75559217,5.962948544,6.924929041,6.207761679,7.909030149,7.089527337,7.576223114,6.170839223,7.624623485,7.147951313,7.415155367,6.77338667,6.849485875
LOC_Os01g01740,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,7.218873895,5.962948544,6.170839223,6.978952073,6.437373018,6.889114232,6.918823733,6.144767159
LOC_Os01g01780,5.962948544,5.962948544,6.915033125,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,6.149742229,7.283070081,6.292895389,6.908655804
LOC_Os01g01790,10.2527434,8.75149834,9.373828005,9.1392804,9.475014704,9.772296706,10.25710432,9.730816019,9.867441523,9.596142891,9.411160984,9.36459696,8.758486848,9.432613769
LOC_Os01g01800,7.85518898,8.076499249,8.102792587,9.265925929,7.985504063,7.144752372,8.34172714,8.071962903,8.493779074,7.770111284,8.17104138,8.149581676,8.20492393,8.264603114
LOC_Os01g01830,7.509331626,5.962948544,7.790591256,5.962948544,7.034312109,7.951640882,6.644848635,5.962948544,7.743403136,6.602362838,7.035975267,7.034515712,6.927646181,6.091556231
LOC_Os01g01840,5.962948544,5.962948544,5.962948544,8.739439552,5.962948544,7.055508817,6.580776043,7.036477011,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544
LOC_Os01g01870,7.80217687,8.430432588,9.292580123,6.814715136,8.769251636,8.856840205,8.20371167,8.958317981,7.402854035,8.974765218,7.640201122,7.617558798,7.94946428,6.900461495
LOC_Os01g01890,6.355007842,5.962948544,5.962948544,5.962948544,5.962948544,8.872000127,8.03456748,8.089657709,7.993228322,7.303856475,5.962948544,5.962948544,6.196509844,5.962948544
LOC_Os01g01920,6.189767575,6.219022652,5.962948544,7.851824906,5.962948544,6.141994,7.940901897,7.507694067,6.808683482,7.923640127,7.193121677,7.213520563,6.153719852,6.948465614
LOC_Os01g01960,8.843212456,8.858423737,9.029547266,8.910414089,9.808033391,9.977036041,9.554552799,9.312676888,10.13139154,9.000137389,9.728703674,9.6447018,9.596201908,9.604498086
LOC_Os01g01970,7.563467367,7.602814032,8.040726883,6.193667501,7.941099474,7.132502922,6.703030288,7.036477011,5.962948544,7.982828634,8.103332331,7.252038922,7.224230282,8.205042952
LOC_Os01g02000,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,6.141994,5.962948544,5.962948544,6.256697112,6.119225288,7.681444825,7.902608917,7.46295365,8.102115742
LOC_Os01g02020,7.296113198,8.391546142,5.962948544,6.2888886,8.471921285,6.215995089,7.188095684,7.180987326,7.62306327,7.738059112,8.085841364,7.348270334,7.560697418,8.242580726
LOC_Os01g02040,6.189767575,5.962948544,7.559388257,7.282839883,5.962948544,5.962948544,6.170289861,6.286192487,6.170839223,5.962948544,7.534896482,7.365381664,7.421357444,6.520250556
LOC_Os01g02080,7.208323845,6.680759645,7.337379315,7.300334726,5.962948544,7.939611991,8.011785759,7.180987326,8.310615474,8.436732378,6.605157418,5.962948544,6.408895454,7.044158914
LOC_Os01g02090,8.222423563,8.63560952,8.534856109,7.841008803,6.895902321,8.856840205,8.789489917,7.772046592,8.399579454,8.210650451,8.932296509,8.618647622,8.640234052,8.005222125
LOC_Os01g02100,6.189767575,7.133266287,7.572748839,7.93514747,5.962948544,6.956671609,6.85330913,6.864397953,7.489019156,5.962948544,6.455113425,6.994209981,7.355862008,7.553600475
LOC_Os01g02139,7.437825245,7.348215855,5.962948544,7.415368727,7.985504063,7.144752372,5.962948544,6.564579387,5.962948544,5.962948544,7.988336745,7.576080822,8.492913589,7.694603952
LOC_Os01g02150,9.626375172,10.21365089,9.830847494,10.01828724,10.73868462,7.771745059,7.865818282,8.351694437,7.323204088,7.969412156,10.71835369,10.8099339,10.59690443,10.76119219
LOC_Os01g02170,6.355007842,7.417498923,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,6.605466351,5.962948544,5.962948544,7.266119828,6.369565058,7.137650841,7.227713992
LOC_Os01g02180,7.070791599,7.473602686,8.648973649,7.246942456,7.429655908,7.192273564,8.06432981,7.419602935,8.112559665,8.085392412,7.444109178,7.594697082,7.303992405,7.2784097
LOC_Os01g02200,8.355944898,9.652170256,8.738226643,7.300334726,9.204288844,9.150019602,8.785189985,9.200274838,8.098231008,9.006409238,9.724221107,9.235252997,9.397487092,9.910578126
LOC_Os01g02270,7.844766023,5.962948544,5.962948544,7.151225272,6.953951815,5.962948544,7.554140819,7.340420785,5.962948544,5.962948544,5.962948544,5.962948544,7.198383284,5.962948544
LOC_Os01g02320,7.296113198,6.144138967,5.962948544,5.962948544,5.962948544,5.962948544,7.373479299,5.962948544,7.074872014,5.962948544,6.899544385,7.145847088,7.178551218,6.091556231
LOC_Os01g02370,6.559416295,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,5.962948544,7.074872014,5.962948544,7.193121677,6.636747383,6.196509844,7.473831783
LOC_Os01g02390,5.962948544,7.535711189,5.962948544,7.022309321,5.962948544,7.805836387,7.436997393,7.058526571,5.962948544,6.602362838,6.095077721,7.342505524,6.936377217,5.962948544
LOC_Os01g02400,8.047382805,6.819827824,7.698614068,7.171117864,6.450834309,7.43892747,5.962948544,6.35842908,7.489019156,7.372887446,7.623294305,6.431956427,7.378133969,7.925853089
LOC_Os01g02700,5.962948544,5.962948544,6.712353173,6.36172082,6.559085396,8.599629185,7.839757114,7.838029885,8.016460484,8.750730364,5.962948544,5.962948544,5.962948544,5.962948544
LOC_Os01g02710,7.049418509,7.769858086,6.603966473,6.193667501,5.962948544,8.296421106,8.477657051,8.533453898,8.488415547,7.000858958,5.962948544,5.962948544,5.962948544,5.962948544
LOC_Os01g02720,8.029414959,8.013817827,7.11909801,7.49072578,8.069945267,7.771745059,8.093422971,7.900685717,8.504443038,7.271670161,7.579933452,7.869922191,8.330188557,7.383002987
LOC_Os01g02870,8.082585724,7.666284466,7.369686339,7.171117864,7.219807391,5.962948544,6.998708132,6.191755052,6.981984946,5.962948544,6.095077721,6.687623233,5.962948544,5.962948544
LOC_Os01g02880,7.151745403,7.436515882,6.519211971,6.422927569,7.034312109,6.141994,7.346998372,6.286192487,6.426215589,6.119225288,8.341095747,8.665821887,8.440039767,8.966943757
LOC_Os01g02884,7.723903053,8.019643819,7.490156193,9.071415195,9.163628763,8.621489167,8.835930044,9.420146414,9.169944816,8.861477356,8.544989628,8.281768524,8.615726006,8.202502101
LOC_Os01g02900,8.20672409,8.560302636,8.683124362,6.193667501,6.207761679,6.141994,5.962948544,6.191755052,5.962948544,5.962948544,6.845576038,6.734897675,7.019154222,6.144767159
LOC_Os01g02960,8.438094248,8.754862645,9.194737112,9.827558045,8.793350746,8.02717874,8.071664536,8.415035804,8.061702335,8.117849492,8.106224759,8.221535979,8.232583917,8.104858667
LOC_Os01g03020,9.087527997,8.480600013,8.226613591,9.223661374,9.399474143,8.775227068,8.472258077,8.716031281,9.067669455,8.060505896,9.367994344,9.66366947,8.908050328,9.227380318
LOC_Os01g03030,5.962948544,7.561331471,7.139219731,5.962948544,8.069945267,7.987059826,7.248743667,8.174697562,7.557981027,5.962948544,7.826471784,8.002528451,7.468045951,7.514412679
