GENEID,M,BS,V
ChrSy.fgenesh.gene.86,4.093499664,3.574025669,0.275835544
LOC_Os01g01010,2.71609656,3.423589452,2.708753665
LOC_Os01g01030,0.102917983,0.030965994,1.874039701
LOC_Os01g01040,3.79195076,4.000469205,4.781174997
LOC_Os01g01050,3.171321274,2.110150454,1.711122687
LOC_Os01g01060,2.210662009,3.661917889,4.032390979
LOC_Os01g01070,2.548542575,2.764959573,2.614024509
LOC_Os01g01080,3.501959369,2.439168021,3.466424045
LOC_Os01g01090,1.626561914,1.507595452,0.139490997
LOC_Os01g01120,6.128182243,4.266981335,0.744743999
LOC_Os01g01130,2.516557199,1.890727325,2.833168001
LOC_Os01g01150,5.076167657,4.274430075,4.852191707
LOC_Os01g01160,6.269077754,5.781349895,3.369354675
LOC_Os01g01170,1.958709483,0.030965994,0.193069724
LOC_Os01g01280,5.188986437,4.513202535,1.646635266
LOC_Os01g01295,2.56811632,3.069296253,2.39014121
LOC_Os01g01302,5.517642204,4.787808918,1.893742038
LOC_Os01g01307,3.623706202,3.563822484,4.450455954
LOC_Os01g01312,0.743952385,1.902550719,1.591294543
LOC_Os01g01340,7.126772578,5.443645979,4.107242954
LOC_Os01g01369,1.940603653,2.151208781,3.140538064
LOC_Os01g01380,1.9781232,1.555651888,0.692643854
LOC_Os01g01390,2.837752252,2.852119736,2.996648384
LOC_Os01g01410,2.865287294,2.664374175,3.406601629
LOC_Os01g01420,5.887133909,4.919937479,5.526545711
LOC_Os01g01450,5.707936734,7.643623593,10.20907989
LOC_Os01g01484,5.227102362,3.783826445,4.152652504
LOC_Os01g01510,1.610103453,1.744968284,2.525005004
LOC_Os01g01520,0.31284697,0.363660996,1.434069366
LOC_Os01g01570,1.84750604,2.698840092,2.982413047
LOC_Os01g01580,0.102917983,0.030965994,0.926363122
LOC_Os01g01610,1.791817995,0.906295711,1.101952231
LOC_Os01g01620,3.021412874,4.508716836,3.016094873
LOC_Os01g01640,3.424213126,3.755264176,4.662505367
LOC_Os01g01660,1.222660284,1.706371426,0.820975961
LOC_Os01g01670,2.344387736,2.581049841,4.232880529
LOC_Os01g01680,0.64297627,2.089292336,3.812866076
LOC_Os01g01689,2.080628684,2.056117207,3.121079865
LOC_Os01g01700,5.126359814,4.917764281,5.098171442
LOC_Os01g01710,7.464155229,6.953249639,4.613999211
LOC_Os01g01720,2.575316442,1.653255926,1.702314358
LOC_Os01g01740,1.333368849,0.030965994,0.811187506
LOC_Os01g01780,0.102917983,0.545493132,1.110792034
LOC_Os01g01790,5.62751042,5.316627187,5.012243241
LOC_Os01g01800,3.528704831,3.785627493,3.606889163
LOC_Os01g01830,2.298779747,2.022018488,1.254408081
LOC_Os01g01840,1.303416339,2.055089132,0
LOC_Os01g01870,4.213675891,4.029685792,2.632947739
LOC_Os01g01890,3.629829671,0.36534775,0.018659216
LOC_Os01g01920,2.683194485,1.224152322,1.50351107
LOC_Os01g01960,5.422902532,4.887955775,5.476865285
LOC_Os01g01970,2.212361194,2.841832129,2.981122148
LOC_Os01g02000,0.565553082,0.030965994,3.015796708
LOC_Os01g02020,2.438392799,3.035155694,3.104895017
LOC_Os01g02040,0.598431764,1.388477111,2.093049002
LOC_Os01g02080,3.526040859,1.73903007,0.720429295
LOC_Os01g02090,4.048206689,3.651036963,4.154576534
LOC_Os01g02100,1.802856277,2.045948018,1.867853341
LOC_Os01g02139,1.03384263,2.467560879,3.284658124
LOC_Os01g02150,3.310532697,5.99489597,6.776022903
LOC_Os01g02170,0.6817044,1.139803324,1.68039676
LOC_Os01g02180,3.234174955,2.902189679,2.325725916
LOC_Os01g02200,4.584211577,4.618564871,5.417796908
LOC_Os01g02270,1.727077951,1.904441136,0.59162054
LOC_Os01g02320,1.476215736,0.978857055,1.404175771
LOC_Os01g02370,0.943114354,0.433141042,1.577095466
LOC_Os01g02390,2.129112818,1.401534329,1.140556946
LOC_Os01g02400,2.0966481,2.460935985,2.439778829
LOC_Os01g02700,3.821939498,0.582570165,0
LOC_Os01g02710,3.801617117,1.807406838,0
LOC_Os01g02720,3.417684192,3.122507741,3.057092642
LOC_Os01g02870,1.191864844,2.756859796,0.182288562
LOC_Os01g02880,1.227466628,1.781969783,4.201889586
LOC_Os01g02884,4.721867049,3.9434902,3.917616245
LOC_Os01g02900,0.482472893,3.494856896,1.011815499
LOC_Os01g02960,3.661561265,4.731733571,3.560103805
LOC_Os01g03020,4.294858058,4.627148194,5.071451309
LOC_Os01g03030,2.861000554,2.274623341,2.87854577
LOC_Os01g03040,6.526424043,5.832652333,3.657459981
LOC_Os01g03050,2.550974008,1.333368849,2.337616489
LOC_Os01g03060,4.238848933,3.343935942,4.251895953
LOC_Os01g03070,4.596965665,6.034711677,6.793322209
