GENEID	M	BS	V	TFcluster	Family
LOC_Os01g09590	-1.020761962	0.977856929	0.042905033	TFBS	MYB
LOC_Os01g51140	-0.673236784	1.149061728	-0.475824944	TFBS	bHLH
LOC_Os01g53040	-1.086198664	0.882406489	0.203792175	TFBS	WRKY
LOC_Os01g54890	-0.780592949	1.127185873	-0.346592924	TFBS	ERF
LOC_Os02g10860	-0.698682649	1.14550834	-0.446825691	TFBS	bZIP
LOC_Os07g39470	-1.050799485	0.939966181	0.110833304	TFBS	GRAS
LOC_Os08g37580	-1.101456679	0.850886444	0.250570236	TFBS	HD-ZIP
LOC_Os09g26420	-1.077713022	0.89788434	0.179828681	TFBS	ERF
LOC_Os10g39030	-1.041708595	0.952284944	0.089423651	TFBS	TALE
LOC_Os11g08210	-0.474419355	1.14890848	-0.674489125	TFBS	NAC
LOC_Os01g04930	-0.951075772	-0.091552192	1.042627964	TFV	MYB
LOC_Os01g08160	-0.921261593	-0.142243824	1.063505417	TFV	G2-like
LOC_Os01g11910	-0.637788898	-0.514723563	1.152512462	TFV	bHLH
LOC_Os01g14420	-0.664244587	-0.485853468	1.150098055	TFV	Nin-like
LOC_Os01g15350	-0.908124373	-0.163580585	1.071704958	TFV	C3H
LOC_Os01g17000	-0.849077898	-0.253177837	1.102255735	TFV	Dof
LOC_Os01g47370	-0.538114708	-0.615716301	1.153831009	TFV	MYB_related
LOC_Os01g55340	-0.742900072	-0.394105065	1.137005137	TFV	Dof
LOC_Os01g60600	-0.592387326	-0.562181513	1.154568839	TFV	WRKY
LOC_Os01g64020	-0.928330537	-0.130521044	1.058851581	TFV	bZIP
LOC_Os01g66030	-0.617797416	-0.535935456	1.153732872	TFV	MIKC_MADS
LOC_Os01g67770	-0.836105488	-0.271654229	1.107759718	TFV	ARR-B
LOC_Os02g03960	-0.765010847	-0.366539837	1.131550684	TFV	bZIP
LOC_Os02g07840	-0.917765122	-0.147978532	1.065743654	TFV	bZIP
LOC_Os02g16540	-0.755149083	-0.378938774	1.134087857	TFV	WRKY
LOC_Os02g18660	-0.834108423	-0.27446394	1.108572363	TFV	GeBP
LOC_Os02g43330	-0.182427543	-0.896227438	1.078654982	TFV	HD-ZIP
LOC_Os02g45760	-0.54239713	-0.611611729	1.154008859	TFV	GRAS
LOC_Os02g46030	-0.579839843	-0.574857111	1.154696955	TFV	MYB_related
LOC_Os02g47190	-0.684869731	-0.462683194	1.147552924	TFV	G2-like
LOC_Os02g47744	-0.902359531	-0.172767714	1.075127245	TFV	MYB_related
LOC_Os02g49700	-0.844864925	-0.259221734	1.104086659	TFV	HD-ZIP
LOC_Os02g51670	-0.661513749	-0.488876989	1.150390738	TFV	ERF
LOC_Os03g08470	-0.787573041	-0.337511318	1.125084359	TFV	ERF
LOC_Os03g08490	-0.660071764	-0.490469419	1.150541183	TFV	ERF
LOC_Os03g08960	-0.931559258	-0.125107849	1.056667107	TFV	HD-ZIP
LOC_Os03g20900	-0.917077638	-0.149101251	1.066178889	TFV	G2-like
LOC_Os03g43810	-0.466158242	-0.681810146	1.147968388	TFV	bHLH
LOC_Os03g53020	-0.803172156	-0.316874683	1.120046839	TFV	bHLH
LOC_Os03g60630	-0.724707787	-0.416169688	1.140877475	TFV	Dof
LOC_Os04g45690	-0.879475163	-0.208253605	1.087728768	TFV	DBB
LOC_Os04g47890	-0.618395941	-0.53530771	1.153703651	TFV	G2-like
LOC_Os04g47990	-0.956560672	-0.081848006	1.038408679	TFV	Dof
LOC_Os04g54474	-0.843689838	-0.260899977	1.104589815	TFV	bZIP
LOC_Os04g57610	-0.830663388	-0.279289608	1.109952995	TFV	ARF
LOC_Os05g10690	-0.727792217	-0.412466479	1.140258696	TFV	MYB_related
LOC_Os05g11510	-0.310053906	-0.808248673	1.118302579	TFV	DBB
LOC_Os05g37190	-0.788159492	-0.336744078	1.12490357	TFV	C2H2
LOC_Os05g38120	-0.707173668	-0.436937709	1.144111377	TFV	TALE
LOC_Os05g50350	-0.721298944	-0.420244807	1.141543751	TFV	MYB_related
LOC_Os06g09420	-0.337215701	-0.78779906	1.125014761	TFV	B3
LOC_Os06g11860	-0.901080197	-0.174792499	1.075872697	TFV	ERF
LOC_Os06g16370	-0.617677528	-0.536061144	1.153738671	TFV	CO-like
LOC_Os06g19444	-0.482427821	-0.667327529	1.149755351	TFV	CO-like
LOC_Os06g45410	-0.713938089	-0.428982165	1.142920254	TFV	G2-like
LOC_Os06g46270	-0.653021961	-0.49821427	1.151236231	TFV	NAC
LOC_Os06g46410	-0.774982071	-0.353826773	1.128808843	TFV	ARF
LOC_Os06g49010	-0.052595623	-0.972664288	1.02525991	TFV	SBP
LOC_Os06g50600	-0.557422301	-0.597051537	1.154473837	TFV	bZIP
LOC_Os07g02800	-0.723649492	-0.417436802	1.141086294	TFV	G2-like
LOC_Os07g48450	-0.373694797	-0.759336595	1.133031392	TFV	NAC
LOC_Os08g02070	-0.401387543	-0.736944768	1.138332311	TFV	MIKC_MADS
LOC_Os08g03610	-0.899671536	-0.177016165	1.076687701	TFV	LSD
LOC_Os08g07740	-0.875312831	-0.214547989	1.08986082	TFV	NF-YB
LOC_Os08g07970	-0.941571447	-0.108077307	1.049648754	TFV	bZIP
LOC_Os08g26880	-0.790052471	-0.334263021	1.124315492	TFV	bZIP
LOC_Os08g38210	-0.827718378	-0.283393788	1.111112167	TFV	bHLH
LOC_Os09g24490	-0.785906122	-0.339688513	1.125594635	TFV	bHLH
LOC_Os09g31300	-0.457546522	-0.689370728	1.14691725	TFV	bHLH
LOC_Os10g28330	-0.558772239	-0.595731123	1.154503362	TFV	C2H2
LOC_Os11g03420	-0.623662998	-0.529764217	1.153427215	TFV	ZF-HD
LOC_Os11g13930	-0.661396316	-0.489006779	1.150403096	TFV	ZF-HD
LOC_Os11g35030	-0.762457287	-0.369766805	1.132224092	TFV	GRF
LOC_Os12g03110	-0.425130743	-0.717191526	1.142322269	TFV	ZF-HD
LOC_Os12g37970	-0.740556239	-0.396978254	1.137534493	TFV	MYB
LOC_Os12g41680	-0.86664049	-0.227513089	1.094153579	TFV	NAC
LOC_Os01g04020	-1.15367468	0.53469414	0.61898054	TFBS&V	ERF
LOC_Os01g09550	-0.978902412	-0.04093785	1.019840262	TFBS&V	NAC
LOC_Os01g09850	-1.151885563	0.645726282	0.506159281	TFBS&V	C2H2
LOC_Os01g10610	-1.019144666	0.039457333	0.979687332	TFBS&V	BES1
LOC_Os01g54930	-1.044862966	0.096760206	0.94810276	TFBS&V	VOZ
LOC_Os01g57890	-1.082878471	0.194263972	0.888614499	TFBS&V	HD-ZIP
LOC_Os01g58760	-0.993561409	-0.012755158	1.006316567	TFBS&V	bZIP
LOC_Os01g70110	-1.032286979	0.068050091	0.964236889	TFBS&V	NAC
LOC_Os02g02820	-1.070870211	0.161365936	0.909504275	TFBS&V	bHLH
LOC_Os02g06910	-0.978676499	-0.041363393	1.020039892	TFBS&V	ARF
LOC_Os02g36890	-1.151192217	0.653489369	0.497702848	TFBS&V	MYB
LOC_Os02g42585	-1.134982342	0.383476738	0.751505605	TFBS&V	ERF
LOC_Os02g44360	-1.05071086	0.110620554	0.940090306	TFBS&V	GRAS
LOC_Os02g44370	-1.044090442	0.094954643	0.949135799	TFBS&V	GRAS
LOC_Os02g45200	-1.154550241	0.561141144	0.593409098	TFBS&V	Dof
LOC_Os03g08754	-1.134479039	0.3809119	0.753567139	TFBS&V	MIKC_MADS
LOC_Os03g27390	-1.153875882	0.539151226	0.614724657	TFBS&V	bHLH
LOC_Os03g49170	-0.988541299	-0.022536447	1.011077746	TFBS&V	C3H
LOC_Os03g53050	-1.092528898	0.222558633	0.869970265	TFBS&V	WRKY
LOC_Os04g31804	-1.00791352	0.016019519	0.991894002	TFBS&V	M-type_MADS
LOC_Os04g45750	-1.076516726	0.176548805	0.899967921	TFBS&V	Trihelix
LOC_Os04g45810	-1.118721802	0.311679355	0.807042447	TFBS&V	HD-ZIP
LOC_Os04g46020	-0.995691855	-0.008561318	1.004253172	TFBS&V	GATA
LOC_Os04g51560	-1.117077798	0.305353403	0.811724394	TFBS&V	WRKY
LOC_Os04g53990	-1.022422563	0.046465031	0.975957532	TFBS&V	bHLH
LOC_Os04g56990	-1.117311606	0.306245262	0.811066344	TFBS&V	G2-like
LOC_Os05g02150	-1.01918928	0.039552186	0.979637094	TFBS&V	Dof
LOC_Os05g02420	-1.073266944	0.167751987	0.905514957	TFBS&V	MYB_related
LOC_Os05g25770	-1.048715655	0.105852623	0.942863032	TFBS&V	WRKY
LOC_Os05g37730	-1.067114612	0.151523533	0.915591079	TFBS&V	MYB
LOC_Os05g40960	-0.998973509	-0.00204983	1.001023339	TFBS&V	G2-like
LOC_Os05g49240	-0.981436122	-0.036147533	1.017583655	TFBS&V	MYB_related
LOC_Os05g49780	-1.063347343	0.141841244	0.921506099	TFBS&V	NF-YB
LOC_Os05g51830	-1.116859473	0.304522888	0.812336585	TFBS&V	C2H2
LOC_Os06g09390	-0.995573497	-0.00879499	1.004368488	TFBS&V	ERF
LOC_Os06g14670	-1.096469887	0.234682171	0.861787716	TFBS&V	MYB
LOC_Os06g39960	-1.127410123	0.347580536	0.779829587	TFBS&V	bZIP
LOC_Os06g43090	-1.033185643	0.07005551	0.963130133	TFBS&V	MYB
LOC_Os07g32510	-1.15395055	0.613011315	0.540939235	TFBS&V	Dof
LOC_Os07g39800	-1.085138951	0.200728734	0.884410217	TFBS&V	HRT-like
LOC_Os07g40570	-1.153430308	0.529822794	0.623607514	TFBS&V	WRKY
LOC_Os08g14880	-1.136913211	0.393610209	0.743303003	TFBS&V	FAR1
LOC_Os08g15050	-0.983050649	-0.033077922	1.016128571	TFBS&V	CO-like
LOC_Os08g32080	-1.095338378	0.231164246	0.864174132	TFBS&V	HD-ZIP
LOC_Os08g33750	-1.093240695	0.224721938	0.868518758	TFBS&V	G2-like
LOC_Os08g38020	-0.967440295	-0.062214332	1.029654628	TFBS&V	bZIP
