Category	Gene count	FDR	cell
Photosynthesis.photophosphorylation	104	1.59E-42	Rice M
Photosynthesis.calvin cycle	18	2.73E-07	Rice M
Coenzyme metabolism.tetrapyrrol biosynthesis	17	2.43E-05	Rice M
Photosynthesis.photorespiration	11	0.000160327	Rice M
Redox homeostasis.chloroplast redox homeostasis	8	0.00255317	Rice M
Secondary metabolism.terpenoids	11	0.052114919	Rice M
Protein biosynthesis.organelle machinery	19	0.084978127	Rice M
RNA biosynthesis.organelle machinery	NA	NA	Rice M
Protein biosynthesis.ribosome biogenesis	NA	NA	Rice M
Protein homeostasis.protein quality control	NA	NA	Rice M
Protein modification.S-glutathionylation	NA	NA	Rice M
Lipid metabolism.fatty acid biosynthesis	NA	NA	Rice M
Protein translocation.chloroplast	NA	NA	Rice M
Cell wall organisation.cutin and suberin	NA	NA	Rice M
Enzyme classification.EC_2 transferases	NA	NA	Rice M
Cell cycle organisation.organelle division	NA	NA	Rice M
Enzyme classification.EC_1 oxidoreductases	NA	NA	Rice M
Redox homeostasis.low-molecular-weight scavengers	NA	NA	Rice M
Redox homeostasis.hydrogen peroxide removal	NA	NA	Rice M
Phytohormone action.salicylic acid	NA	NA	Rice M
Chromatin organisation.histones	NA	NA	Rice M
Nutrient uptake.copper uptake	NA	NA	Rice M
Lipid metabolism.galactolipid and sulfolipid biosynthesis	NA	NA	Rice M
Protein biosynthesis.aminoacyl-tRNA synthetase activities	NA	NA	Rice M
RNA processing.organelle machinery	NA	NA	Rice M
Coenzyme metabolism.FMN/FAD biosynthesis	NA	NA	Rice M
Protein modification.protein folding	NA	NA	Rice M
Protein homeostasis.proteolysis	NA	NA	Rice M
Solute transport.carrier-mediated transport	NA	NA	Rice M
Nutrient uptake.sulfur assimilation	NA	NA	Rice M
Phytohormone action.jasmonic acid	NA	NA	Rice M
Amino acid metabolism.biosynthesis	NA	NA	Rice M
Solute transport.channels	NA	NA	Rice M
Protein biosynthesis.translation initiation	NA	NA	Rice M
Cell wall organisation.lignin	NA	NA	Rice M
Cytoskeleton organisation.microfilament network	NA	NA	Rice M
Nutrient uptake.nitrogen assimilation	NA	NA	Rice M
RNA processing.RNA chaperone activities	NA	NA	Rice M
RNA biosynthesis.transcriptional regulation	NA	NA	Rice M
Amino acid metabolism.degradation	NA	NA	Rice M
Secondary metabolism.glucosinolates	NA	NA	Rice M
Cell cycle organisation.cytokinesis	NA	NA	Rice M
Cytoskeleton organisation.microtubular network	NA	NA	Rice M
Protein homeostasis.ubiquitin-proteasome system	NA	NA	Rice M
Chromatin organisation.DNA methylation	NA	NA	Rice M
Chromatin organisation.chromatin remodeling complexes	NA	NA	Rice M
Chromatin organisation.histone modifications	NA	NA	Rice M
Vesicle trafficking.Coat protein I (COPI) coatomer machinery	NA	NA	Rice M
Phytohormone action.auxin	NA	NA	Rice M
