"","BS1","BS2","BS3","BS4","BS5","M1","M2","M3","M4","M5","V1","V2","V3","V4"
"ChrSy.fgenesh.gene.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.28",0,0,0,0,5,0,25,0,14,0,0,0,0,0
"ChrSy.fgenesh.gene.29",0,0,0,0,0,0,0,0,0,0,31,14,0,0
"ChrSy.fgenesh.gene.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.30",0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ChrSy.fgenesh.gene.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.37",2,0,0,0,6,0,0,21.077,0,0,9,0,14,8
"ChrSy.fgenesh.gene.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrSy.fgenesh.gene.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
