"","GENEID"
"10","LOC_Os01g01120"
"20","LOC_Os01g01340"
"25","LOC_Os01g01420"
"40","LOC_Os01g01710"
"49","LOC_Os01g01890"
"69","LOC_Os01g02700"
"123","LOC_Os01g04630"
"158","LOC_Os01g05800"
"161","LOC_Os01g05840"
"182","LOC_Os01g07090"
"212","LOC_Os01g07800"
"237","LOC_Os01g08440"
"275","LOC_Os01g09280"
"314","LOC_Os01g10210"
"329","LOC_Os01g10690"
"372","LOC_Os01g12340"
"386","LOC_Os01g12670"
"394","LOC_Os01g12810"
"395","LOC_Os01g12830"
"405","LOC_Os01g13060"
"416","LOC_Os01g13280"
"422","LOC_Os01g13390"
"428","LOC_Os01g13480"
"431","LOC_Os01g13540"
"441","LOC_Os01g13770"
"451","LOC_Os01g14410"
"493","LOC_Os01g15490"
"516","LOC_Os01g16130"
"556","LOC_Os01g17150"
"558","LOC_Os01g17170"
"561","LOC_Os01g17214"
"562","LOC_Os01g17240"
"567","LOC_Os01g17390"
"597","LOC_Os01g19740"
"620","LOC_Os01g21820"
"664","LOC_Os01g24440"
"675","LOC_Os01g25065"
"679","LOC_Os01g25386"
"728","LOC_Os01g28989"
"742","LOC_Os01g31360"
"747","LOC_Os01g31680"
"748","LOC_Os01g31690"
"790","LOC_Os01g33490"
"922","LOC_Os01g40310"
"940","LOC_Os01g40710"
"950","LOC_Os01g41145"
"959","LOC_Os01g41710"
"971","LOC_Os01g42260"
"1007","LOC_Os01g43150"
"1048","LOC_Os01g45274"
"1099","LOC_Os01g47340"
"1115","LOC_Os01g47630"
"1125","LOC_Os01g47900"
"1160","LOC_Os01g48910"
"1165","LOC_Os01g48990"
"1189","LOC_Os01g49600"
"1207","LOC_Os01g50030"
"1249","LOC_Os01g51290"
"1257","LOC_Os01g51410"
"1281","LOC_Os01g52170"
"1284","LOC_Os01g52240"
"1303","LOC_Os01g52640"
"1315","LOC_Os01g53020"
"1326","LOC_Os01g53330"
"1414","LOC_Os01g55570"
"1468","LOC_Os01g56680"
"1484","LOC_Os01g56990"
"1495","LOC_Os01g57270"
"1510","LOC_Os01g57720"
"1527","LOC_Os01g57966"
"1529","LOC_Os01g58000"
"1531","LOC_Os01g58020"
"1533","LOC_Os01g58024"
"1534","LOC_Os01g58038"
"1535","LOC_Os01g58039"
"1536","LOC_Os01g58049"
"1539","LOC_Os01g58140"
"1569","LOC_Os01g59080"
"1570","LOC_Os01g59090"
"1610","LOC_Os01g60110"
"1633","LOC_Os01g60830"
"1642","LOC_Os01g61120"
"1648","LOC_Os01g61400"
"1649","LOC_Os01g61410"
"1731","LOC_Os01g63620"
"1771","LOC_Os01g64660"
"1787","LOC_Os01g64960"
"1791","LOC_Os01g65080"
"1830","LOC_Os01g65902"
"1843","LOC_Os01g66170"
"1870","LOC_Os01g67000"
"1874","LOC_Os01g67120"
"1900","LOC_Os01g67630"
"1929","LOC_Os01g68450"
"1930","LOC_Os01g68480"
"1944","LOC_Os01g68860"
"1949","LOC_Os01g69030"
"1975","LOC_Os01g69950"
"2031","LOC_Os01g71190"
"2098","LOC_Os01g73070"
"2113","LOC_Os01g73450"
"2150","LOC_Os01g74320"
"2164","LOC_Os01g74640"
"2176","LOC_Os02g01150"
"2186","LOC_Os02g01340"
"2257","LOC_Os02g03010"
"2266","LOC_Os02g03230"
"2284","LOC_Os02g03600"
"2365","LOC_Os02g05630"
"2385","LOC_Os02g06300"
"2430","LOC_Os02g07350"
"2489","LOC_Os02g09340"
"2514","LOC_Os02g09940"
"2523","LOC_Os02g10120"
"2535","LOC_Os02g10350"
"2536","LOC_Os02g10390"
"2552","LOC_Os02g10720"
"2675","LOC_Os02g15660"
"2676","LOC_Os02g15750"
"2723","LOC_Os02g17920"
"2735","LOC_Os02g18450"
"2785","LOC_Os02g21009"
"2815","LOC_Os02g22100"
"2840","LOC_Os02g24598"
"2841","LOC_Os02g24612"
"2844","LOC_Os02g24642"
"2867","LOC_Os02g26700"
"2870","LOC_Os02g26860"
"2915","LOC_Os02g29550"
"2929","LOC_Os02g30320"
"2966","LOC_Os02g32250"
"2984","LOC_Os02g32730"
"2991","LOC_Os02g32990"
"3008","LOC_Os02g33450"
"3037","LOC_Os02g34810"
"3052","LOC_Os02g35090"
"3060","LOC_Os02g35170"
"3069","LOC_Os02g35500"
"3075","LOC_Os02g35630"
"3078","LOC_Os02g35700"
