"","GENEID"
"26","LOC_Os01g01450"
"37","LOC_Os01g01680"
"60","LOC_Os01g02150"
"75","LOC_Os01g02900"
"76","LOC_Os01g02960"
"82","LOC_Os01g03070"
"84","LOC_Os01g03100"
"97","LOC_Os01g03570"
"107","LOC_Os01g04020"
"109","LOC_Os01g04050"
"117","LOC_Os01g04330"
"118","LOC_Os01g04350"
"135","LOC_Os01g04920"
"144","LOC_Os01g05150"
"154","LOC_Os01g05650"
"162","LOC_Os01g05900"
"174","LOC_Os01g06500"
"185","LOC_Os01g07200"
"197","LOC_Os01g07500"
"199","LOC_Os01g07530"
"207","LOC_Os01g07730"
"224","LOC_Os01g08160"
"244","LOC_Os01g08560"
"279","LOC_Os01g09320"
"285","LOC_Os01g09450"
"290","LOC_Os01g09570"
"291","LOC_Os01g09590"
"301","LOC_Os01g09830"
"302","LOC_Os01g09850"
"312","LOC_Os01g10140"
"321","LOC_Os01g10400"
"345","LOC_Os01g11240"
"354","LOC_Os01g11620"
"365","LOC_Os01g12100"
"368","LOC_Os01g12190"
"385","LOC_Os01g12650"
"388","LOC_Os01g12720"
"403","LOC_Os01g13000"
"407","LOC_Os01g13090"
"419","LOC_Os01g13320"
"442","LOC_Os01g13800"
"475","LOC_Os01g15010"
"486","LOC_Os01g15320"
"490","LOC_Os01g15448"
"507","LOC_Os01g16000"
"517","LOC_Os01g16146"
"540","LOC_Os01g16890"
"547","LOC_Os01g16970"
"548","LOC_Os01g16980"
"590","LOC_Os01g19170"
"596","LOC_Os01g19610"
"602","LOC_Os01g20120"
"642","LOC_Os01g22710"
"659","LOC_Os01g23990"
"665","LOC_Os01g24480"
"681","LOC_Os01g25484"
"684","LOC_Os01g25560"
"698","LOC_Os01g26120"
"707","LOC_Os01g27140"
"711","LOC_Os01g27360"
"716","LOC_Os01g27730"
"761","LOC_Os01g32330"
"807","LOC_Os01g34614"
"833","LOC_Os01g36350"
"849","LOC_Os01g36950"
"851","LOC_Os01g37050"
"858","LOC_Os01g37460"
"859","LOC_Os01g37470"
"862","LOC_Os01g37590"
"863","LOC_Os01g37690"
