"","GENEID"
"26","LOC_Os01g01450"
"53","LOC_Os01g02000"
"84","LOC_Os01g03100"
"126","LOC_Os01g04670"
"162","LOC_Os01g05900"
"174","LOC_Os01g06500"
"225","LOC_Os01g08190"
"275","LOC_Os01g09280"
"276","LOC_Os01g09300"
"279","LOC_Os01g09320"
"285","LOC_Os01g09450"
"301","LOC_Os01g09830"
"329","LOC_Os01g10690"
"345","LOC_Os01g11240"
"346","LOC_Os01g11260"
"349","LOC_Os01g11414"
"379","LOC_Os01g12490"
"416","LOC_Os01g13280"
"472","LOC_Os01g14960"
"481","LOC_Os01g15270"
"496","LOC_Os01g15630"
"585","LOC_Os01g18860"
"596","LOC_Os01g19610"
"602","LOC_Os01g20120"
"603","LOC_Os01g20830"
"657","LOC_Os01g23850"
"658","LOC_Os01g23870"
"659","LOC_Os01g23990"
"683","LOC_Os01g25540"
"707","LOC_Os01g27140"
"711","LOC_Os01g27360"
"721","LOC_Os01g27990"
"726","LOC_Os01g28790"
"820","LOC_Os01g35050"
"887","LOC_Os01g38620"
"929","LOC_Os01g40550"
"973","LOC_Os01g42380"
"1012","LOC_Os01g43330"
"1035","LOC_Os01g44090"
"1041","LOC_Os01g44390"
"1054","LOC_Os01g45470"
"1090","LOC_Os01g46926"
"1107","LOC_Os01g47490"
"1111","LOC_Os01g47570"
"1135","LOC_Os01g48280"
"1137","LOC_Os01g48310"
"1143","LOC_Os01g48420"
"1173","LOC_Os01g49190"
"1189","LOC_Os01g49600"
"1194","LOC_Os01g49710"
"1221","LOC_Os01g50610"
"1237","LOC_Os01g51050"
"1251","LOC_Os01g51320"
"1272","LOC_Os01g51920"
"1278","LOC_Os01g52110"
"1283","LOC_Os01g52230"
"1329","LOC_Os01g53460"
"1343","LOC_Os01g53779"
"1344","LOC_Os01g53790"
"1354","LOC_Os01g54050"
"1361","LOC_Os01g54370"
"1363","LOC_Os01g54400"
"1385","LOC_Os01g54920"
"1421","LOC_Os01g55720"
"1470","LOC_Os01g56740"
"1484","LOC_Os01g56990"
"1485","LOC_Os01g57004"
"1505","LOC_Os01g57570"
"1514","LOC_Os01g57840"
"1515","LOC_Os01g57854"
"1539","LOC_Os01g58140"
"1541","LOC_Os01g58194"
"1552","LOC_Os01g58530"
"1563","LOC_Os01g58760"
"1596","LOC_Os01g59790"
"1601","LOC_Os01g59900"
"1621","LOC_Os01g60410"
"1631","LOC_Os01g60800"
"1641","LOC_Os01g61070"
"1686","LOC_Os01g62244"
"1706","LOC_Os01g62860"
"1740","LOC_Os01g63890"
"1769","LOC_Os01g64640"
"1770","LOC_Os01g64650"
"1784","LOC_Os01g64890"
"1836","LOC_Os01g66030"
"1862","LOC_Os01g66720"
"1892","LOC_Os01g67490"
"1906","LOC_Os01g67860"
"1922","LOC_Os01g68300"
"1924","LOC_Os01g68320"
"1947","LOC_Os01g68950"
"1953","LOC_Os01g69070"
"1956","LOC_Os01g69100"
"1974","LOC_Os01g69940"
"1983","LOC_Os01g70110"
"1985","LOC_Os01g70140"
"2011","LOC_Os01g70730"
"2052","LOC_Os01g72009"
"2057","LOC_Os01g72100"
"2102","LOC_Os01g73140"
"2108","LOC_Os01g73250"
"2109","LOC_Os01g73300"
"2137","LOC_Os01g73940"
"2139","LOC_Os01g73960"
"2194","LOC_Os02g01510"
"2241","LOC_Os02g02830"
"2245","LOC_Os02g02870"
"2247","LOC_Os02g02890"
"2274","LOC_Os02g03430"
"2280","LOC_Os02g03570"
"2284","LOC_Os02g03600"
"2303","LOC_Os02g03960"
"2306","LOC_Os02g04020"
"2371","LOC_Os02g05744"
"2398","LOC_Os02g06640"
"2403","LOC_Os02g06770"
"2446","LOC_Os02g07820"
"2447","LOC_Os02g07830"
"2471","LOC_Os02g08364"
"2476","LOC_Os02g08480"
"2554","LOC_Os02g10770"
"2562","LOC_Os02g10920"
"2594","LOC_Os02g12750"
"2606","LOC_Os02g13060"
"2617","LOC_Os02g13350"
"2670","LOC_Os02g15560"
"2760","LOC_Os02g19770"
"2762","LOC_Os02g19820"
"2836","LOC_Os02g24270"
"2848","LOC_Os02g25080"
"2858","LOC_Os02g26370"
"2902","LOC_Os02g28900"
"2934","LOC_Os02g30610"
"2957","LOC_Os02g31960"
"2958","LOC_Os02g32009"
"2974","LOC_Os02g32450"
"2988","LOC_Os02g32814"
"2990","LOC_Os02g32980"
"2997","LOC_Os02g33080"
"3045","LOC_Os02g34990"
"3109","LOC_Os02g36840"
"3114","LOC_Os02g36974"
"3132","LOC_Os02g37590"
"3153","LOC_Os02g38050"
"3220","LOC_Os02g39700"
"3225","LOC_Os02g39790"
"3277","LOC_Os02g42020"
"3329","LOC_Os02g43330"
"3368","LOC_Os02g44360"
"3369","LOC_Os02g44370"
"3430","LOC_Os02g46030"
"3437","LOC_Os02g46210"
"3438","LOC_Os02g46220"
"3448","LOC_Os02g46490"
"3460","LOC_Os02g46910"
"3477","LOC_Os02g47190"
"3494","LOC_Os02g47580"
"3496","LOC_Os02g47600"
"3502","LOC_Os02g47744"
"3504","LOC_Os02g47790"
"3519","LOC_Os02g48010"
"3526","LOC_Os02g48150"
"3547","LOC_Os02g48720"
"3560","LOC_Os02g48990"
"3581","LOC_Os02g49530"
"3591","LOC_Os02g49700"
"3619","LOC_Os02g50490"
"3640","LOC_Os02g50940"
"3674","LOC_Os02g51670"
"3686","LOC_Os02g51950"
"3711","LOC_Os02g52480"
"3722","LOC_Os02g52860"
"3730","LOC_Os02g52990"
"3739","LOC_Os02g53180"
"3752","LOC_Os02g53510"
"3816","LOC_Os02g55150"
"3828","LOC_Os02g55500"
"3882","LOC_Os02g56900"
"3919","LOC_Os02g57450"
"3986","LOC_Os03g01016"
"4060","LOC_Os03g02550"
"4089","LOC_Os03g03130"
"4187","LOC_Os03g05280"
"4199","LOC_Os03g05530"
"4223","LOC_Os03g06170"
"4241","LOC_Os03g06510"
"4245","LOC_Os03g06620"
"4274","LOC_Os03g07480"
"4288","LOC_Os03g07980"
"4316","LOC_Os03g08470"
"4318","LOC_Os03g08490"
"4346","LOC_Os03g09100"
"4347","LOC_Os03g09110"
"4400","LOC_Os03g10640"
"4426","LOC_Os03g11220"
"4432","LOC_Os03g11300"
"4480","LOC_Os03g12290"
"4499","LOC_Os03g12670"
"4504","LOC_Os03g12790"
"4506","LOC_Os03g12820"
"4507","LOC_Os03g12840"
"4569","LOC_Os03g14450"
"4594","LOC_Os03g15000"
"4602","LOC_Os03g15230"
"4612","LOC_Os03g15530"
"4639","LOC_Os03g15940"
"4648","LOC_Os03g16090"
"4652","LOC_Os03g16140"
"4653","LOC_Os03g16150"
"4720","LOC_Os03g17690"
"4745","LOC_Os03g18180"
"4775","LOC_Os03g18820"
"4788","LOC_Os03g19200"
"4840","LOC_Os03g20440"
"4859","LOC_Os03g20900"
"4864","LOC_Os03g21040"
"4957","LOC_Os03g22960"
"4978","LOC_Os03g24560"
"4982","LOC_Os03g24844"
"5038","LOC_Os03g27120"
"5039","LOC_Os03g27190"
"5042","LOC_Os03g27250"
"5050","LOC_Os03g27370"
"5055","LOC_Os03g27770"
"5082","LOC_Os03g29680"
"5098","LOC_Os03g30300"
"5099","LOC_Os03g30420"
"5100","LOC_Os03g30430"
"5191","LOC_Os03g38020"
"5200","LOC_Os03g38520"
"5251","LOC_Os03g41170"
"5257","LOC_Os03g41438"
"5275","LOC_Os03g42830"
"5293","LOC_Os03g43810"
"5335","LOC_Os03g45280"
"5338","LOC_Os03g45340"
"5368","LOC_Os03g46570"
"5369","LOC_Os03g46600"
"5373","LOC_Os03g46660"
"5379","LOC_Os03g46770"
"5408","LOC_Os03g48080"
"5427","LOC_Os03g48780"
"5455","LOC_Os03g49510"
"5456","LOC_Os03g49520"
"5468","LOC_Os03g49770"
"5491","LOC_Os03g50290"
"5515","LOC_Os03g50810"
"5521","LOC_Os03g50900"
"5586","LOC_Os03g52670"
"5590","LOC_Os03g52720"
"5650","LOC_Os03g54050"
"5652","LOC_Os03g54084"
"5728","LOC_Os03g56310"
"5743","LOC_Os03g56740"
"5744","LOC_Os03g56790"
"5797","LOC_Os03g57790"
"5805","LOC_Os03g57940"
"5872","LOC_Os03g59310"
"5893","LOC_Os03g59740"
"5983","LOC_Os03g61800"
"5987","LOC_Os03g61900"
"6074","LOC_Os03g63760"
"6075","LOC_Os03g63770"
"6083","LOC_Os03g63970"
"6121","LOC_Os04g01490"
"6122","LOC_Os04g01500"
"6171","LOC_Os04g06520"
"6178","LOC_Os04g07830"
"6181","LOC_Os04g07920"
"6189","LOC_Os04g08390"
"6209","LOC_Os04g11390"
"6210","LOC_Os04g11400"
"6234","LOC_Os04g14220"
"6280","LOC_Os04g17650"
"6311","LOC_Os04g21350"
"6324","LOC_Os04g22900"
"6332","LOC_Os04g24140"
"6340","LOC_Os04g24430"
"6358","LOC_Os04g25800"
"6360","LOC_Os04g26320"
"6412","LOC_Os04g31760"
"6414","LOC_Os04g31804"
"6424","LOC_Os04g32030"
"6429","LOC_Os04g32270"
"6476","LOC_Os04g33600"
"6480","LOC_Os04g33660"
"6535","LOC_Os04g35300"
"6660","LOC_Os04g39430"
