"","GENEID"
"1","ChrSy.fgenesh.gene.86"
"10","LOC_Os01g01120"
"13","LOC_Os01g01160"
"15","LOC_Os01g01280"
"17","LOC_Os01g01302"
"20","LOC_Os01g01340"
"40","LOC_Os01g01710"
"69","LOC_Os01g02700"
"70","LOC_Os01g02710"
"79","LOC_Os01g03040"
"86","LOC_Os01g03144"
"89","LOC_Os01g03310"
"91","LOC_Os01g03340"
"118","LOC_Os01g04350"
"133","LOC_Os01g04900"
"158","LOC_Os01g05800"
"161","LOC_Os01g05840"
"182","LOC_Os01g07090"
"199","LOC_Os01g07530"
"212","LOC_Os01g07800"
"214","LOC_Os01g07870"
"237","LOC_Os01g08440"
"252","LOC_Os01g08700"
"287","LOC_Os01g09540"
"314","LOC_Os01g10210"
"321","LOC_Os01g10400"
"335","LOC_Os01g10890"
"339","LOC_Os01g11054"
"355","LOC_Os01g11650"
"359","LOC_Os01g11946"
"387","LOC_Os01g12710"
"394","LOC_Os01g12810"
"395","LOC_Os01g12830"
"409","LOC_Os01g13120"
"422","LOC_Os01g13390"
"428","LOC_Os01g13480"
"431","LOC_Os01g13540"
"433","LOC_Os01g13570"
"435","LOC_Os01g13690"
"439","LOC_Os01g13740"
"441","LOC_Os01g13770"
"451","LOC_Os01g14410"
"519","LOC_Os01g16170"
"556","LOC_Os01g17150"
"558","LOC_Os01g17170"
"562","LOC_Os01g17240"
"567","LOC_Os01g17390"
"582","LOC_Os01g18800"
"597","LOC_Os01g19740"
"620","LOC_Os01g21820"
"635","LOC_Os01g22510"
"645","LOC_Os01g22900"
"664","LOC_Os01g24440"
"673","LOC_Os01g25010"
"675","LOC_Os01g25065"
"679","LOC_Os01g25386"
"681","LOC_Os01g25484"
"691","LOC_Os01g25820"
"694","LOC_Os01g25990"
"696","LOC_Os01g26039"
"723","LOC_Os01g28540"
"747","LOC_Os01g31680"
"748","LOC_Os01g31690"
"752","LOC_Os01g31940"
"775","LOC_Os01g32830"
"797","LOC_Os01g34060"
"841","LOC_Os01g36720"
"850","LOC_Os01g37040"
"854","LOC_Os01g37130"
"862","LOC_Os01g37590"
"863","LOC_Os01g37690"
"912","LOC_Os01g39960"
"922","LOC_Os01g40310"
"934","LOC_Os01g40630"
"940","LOC_Os01g40710"
"959","LOC_Os01g41710"
"1003","LOC_Os01g43090"
"1007","LOC_Os01g43150"
"1019","LOC_Os01g43480"
"1026","LOC_Os01g43700"
"1034","LOC_Os01g44050"
"1036","LOC_Os01g44210"
