"","GENEID"
"3","LOC_Os01g01030"
"26","LOC_Os01g01450"
"37","LOC_Os01g01680"
"53","LOC_Os01g02000"
"60","LOC_Os01g02150"
"73","LOC_Os01g02880"
"75","LOC_Os01g02900"
"82","LOC_Os01g03070"
"84","LOC_Os01g03100"
"97","LOC_Os01g03570"
"107","LOC_Os01g04020"
"109","LOC_Os01g04050"
"119","LOC_Os01g04380"
"124","LOC_Os01g04640"
"126","LOC_Os01g04670"
"136","LOC_Os01g04930"
"144","LOC_Os01g05150"
"154","LOC_Os01g05650"
"162","LOC_Os01g05900"
"174","LOC_Os01g06500"
"179","LOC_Os01g06660"
"185","LOC_Os01g07200"
"197","LOC_Os01g07500"
"203","LOC_Os01g07620"
"207","LOC_Os01g07730"
"224","LOC_Os01g08160"
"225","LOC_Os01g08190"
"244","LOC_Os01g08560"
"258","LOC_Os01g08850"
"276","LOC_Os01g09300"
"279","LOC_Os01g09320"
"285","LOC_Os01g09450"
"286","LOC_Os01g09510"
"288","LOC_Os01g09550"
"290","LOC_Os01g09570"
"291","LOC_Os01g09590"
"299","LOC_Os01g09770"
"301","LOC_Os01g09830"
"302","LOC_Os01g09850"
"312","LOC_Os01g10140"
"326","LOC_Os01g10610"
"345","LOC_Os01g11240"
"349","LOC_Os01g11414"
"350","LOC_Os01g11460"
"354","LOC_Os01g11620"
"358","LOC_Os01g11910"
"366","LOC_Os01g12130"
"368","LOC_Os01g12190"
"376","LOC_Os01g12464"
"379","LOC_Os01g12490"
"385","LOC_Os01g12650"
"388","LOC_Os01g12720"
"403","LOC_Os01g13000"
"404","LOC_Os01g13030"
"406","LOC_Os01g13080"
"407","LOC_Os01g13090"
"419","LOC_Os01g13320"
"436","LOC_Os01g13700"
"442","LOC_Os01g13800"
"452","LOC_Os01g14420"
"456","LOC_Os01g14590"
"464","LOC_Os01g14830"
"472","LOC_Os01g14960"
"475","LOC_Os01g15010"
"480","LOC_Os01g15260"
"481","LOC_Os01g15270"
"484","LOC_Os01g15300"
"486","LOC_Os01g15320"
"487","LOC_Os01g15350"
"490","LOC_Os01g15448"
"507","LOC_Os01g16000"
"524","LOC_Os01g16240"
"536","LOC_Os01g16540"
"540","LOC_Os01g16890"
"541","LOC_Os01g16900"
"542","LOC_Os01g16910"
"544","LOC_Os01g16940"
"545","LOC_Os01g16950"
"546","LOC_Os01g16960"
"547","LOC_Os01g16970"
"548","LOC_Os01g16980"
"549","LOC_Os01g17000"
"560","LOC_Os01g17190"
"578","LOC_Os01g18400"
"585","LOC_Os01g18860"
"596","LOC_Os01g19610"
"599","LOC_Os01g19840"
"602","LOC_Os01g20120"
"603","LOC_Os01g20830"
"609","LOC_Os01g20940"
"616","LOC_Os01g21440"
"633","LOC_Os01g22490"
"657","LOC_Os01g23850"
"658","LOC_Os01g23870"
"659","LOC_Os01g23990"
"663","LOC_Os01g24420"
"665","LOC_Os01g24480"
"668","LOC_Os01g24690"
"683","LOC_Os01g25540"
"684","LOC_Os01g25560"
"695","LOC_Os01g26020"
"698","LOC_Os01g26120"
"706","LOC_Os01g27040"
"707","LOC_Os01g27140"
"711","LOC_Os01g27360"
"716","LOC_Os01g27730"
"721","LOC_Os01g27990"
"761","LOC_Os01g32330"
"788","LOC_Os01g33230"
"807","LOC_Os01g34614"
"833","LOC_Os01g36350"
"834","LOC_Os01g36580"
"836","LOC_Os01g36620"
"847","LOC_Os01g36930"
"849","LOC_Os01g36950"
"851","LOC_Os01g37050"
"858","LOC_Os01g37460"
"862","LOC_Os01g37590"
"882","LOC_Os01g38359"
"887","LOC_Os01g38620"
"893","LOC_Os01g39000"
"907","LOC_Os01g39790"
"911","LOC_Os01g39890"
"919","LOC_Os01g40200"
"929","LOC_Os01g40550"
"946","LOC_Os01g40980"
"956","LOC_Os01g41610"
"965","LOC_Os01g42030"
"968","LOC_Os01g42140"
"973","LOC_Os01g42380"
"983","LOC_Os01g42690"
"984","LOC_Os01g42700"
"1012","LOC_Os01g43330"
"1014","LOC_Os01g43370"
"1015","LOC_Os01g43380"
"1025","LOC_Os01g43680"
"1035","LOC_Os01g44090"
"1041","LOC_Os01g44390"
"1054","LOC_Os01g45470"
"1060","LOC_Os01g45830"
"1061","LOC_Os01g45840"
"1064","LOC_Os01g45910"
"1071","LOC_Os01g46070"
"1090","LOC_Os01g46926"
"1093","LOC_Os01g46980"
"1094","LOC_Os01g47050"
"1097","LOC_Os01g47262"
"1101","LOC_Os01g47370"
"1107","LOC_Os01g47490"
"1113","LOC_Os01g47610"
"1135","LOC_Os01g48280"
"1143","LOC_Os01g48420"
"1154","LOC_Os01g48790"
"1163","LOC_Os01g48960"
"1173","LOC_Os01g49190"
"1174","LOC_Os01g49210"
"1178","LOC_Os01g49290"
"1183","LOC_Os01g49380"
"1194","LOC_Os01g49710"
"1199","LOC_Os01g49770"
"1213","LOC_Os01g50160"
"1214","LOC_Os01g50200"
"1215","LOC_Os01g50310"
"1218","LOC_Os01g50370"
"1221","LOC_Os01g50610"
"1232","LOC_Os01g50934"
"1237","LOC_Os01g51050"
"1239","LOC_Os01g51120"
"1251","LOC_Os01g51320"
"1261","LOC_Os01g51630"
"1262","LOC_Os01g51632"
"1271","LOC_Os01g51890"
"1272","LOC_Os01g51920"
"1275","LOC_Os01g52030"
"1278","LOC_Os01g52110"
"1279","LOC_Os01g52130"
"1280","LOC_Os01g52160"
"1283","LOC_Os01g52230"
"1291","LOC_Os01g52390"
"1292","LOC_Os01g52400"
"1294","LOC_Os01g52480"
"1299","LOC_Os01g52550"
"1307","LOC_Os01g52780"
"1316","LOC_Os01g53040"
"1325","LOC_Os01g53294"
"1328","LOC_Os01g53420"
"1329","LOC_Os01g53460"
"1330","LOC_Os01g53520"
"1332","LOC_Os01g53570"
"1338","LOC_Os01g53680"
"1342","LOC_Os01g53730"
"1343","LOC_Os01g53779"
"1344","LOC_Os01g53790"
"1345","LOC_Os01g53800"
"1351","LOC_Os01g54010"
"1354","LOC_Os01g54050"
"1355","LOC_Os01g54080"
"1363","LOC_Os01g54400"
"1374","LOC_Os01g54700"
"1375","LOC_Os01g54730"
"1380","LOC_Os01g54870"
"1385","LOC_Os01g54920"
"1386","LOC_Os01g54930"
"1396","LOC_Os01g55110"
"1398","LOC_Os01g55190"
"1399","LOC_Os01g55240"
"1404","LOC_Os01g55340"
"1413","LOC_Os01g55540"
"1421","LOC_Os01g55720"
"1428","LOC_Os01g55830"
"1455","LOC_Os01g56460"
"1470","LOC_Os01g56740"
"1485","LOC_Os01g57004"
"1493","LOC_Os01g57250"
"1505","LOC_Os01g57570"
"1508","LOC_Os01g57700"
"1509","LOC_Os01g57710"
"1514","LOC_Os01g57840"
"1515","LOC_Os01g57854"
"1516","LOC_Os01g57890"
"1541","LOC_Os01g58194"
"1542","LOC_Os01g58220"
"1563","LOC_Os01g58760"
"1573","LOC_Os01g59130"
"1576","LOC_Os01g59180"
"1579","LOC_Os01g59440"
"1584","LOC_Os01g59530"
"1592","LOC_Os01g59730"
