"","GENEID"
"1","ChrSy.fgenesh.gene.86"
"10","LOC_Os01g01120"
"13","LOC_Os01g01160"
"15","LOC_Os01g01280"
"17","LOC_Os01g01302"
"20","LOC_Os01g01340"
"40","LOC_Os01g01710"
"49","LOC_Os01g01890"
"69","LOC_Os01g02700"
"70","LOC_Os01g02710"
"79","LOC_Os01g03040"
"89","LOC_Os01g03310"
"91","LOC_Os01g03340"
"104","LOC_Os01g03940"
"105","LOC_Os01g03950"
"123","LOC_Os01g04630"
"133","LOC_Os01g04900"
"148","LOC_Os01g05490"
"158","LOC_Os01g05800"
"161","LOC_Os01g05840"
"167","LOC_Os01g06280"
"182","LOC_Os01g07090"
"212","LOC_Os01g07800"
"214","LOC_Os01g07870"
"237","LOC_Os01g08440"
"239","LOC_Os01g08464"
"252","LOC_Os01g08700"
"260","LOC_Os01g08890"
"269","LOC_Os01g09120"
"287","LOC_Os01g09540"
"314","LOC_Os01g10210"
"321","LOC_Os01g10400"
"323","LOC_Os01g10450"
"331","LOC_Os01g10810"
"335","LOC_Os01g10890"
"339","LOC_Os01g11054"
"343","LOC_Os01g11160"
"355","LOC_Os01g11650"
"359","LOC_Os01g11946"
"369","LOC_Os01g12200"
"380","LOC_Os01g12530"
"387","LOC_Os01g12710"
"394","LOC_Os01g12810"
"395","LOC_Os01g12830"
"401","LOC_Os01g12920"
"409","LOC_Os01g13120"
"415","LOC_Os01g13210"
"422","LOC_Os01g13390"
"428","LOC_Os01g13480"
"431","LOC_Os01g13540"
"433","LOC_Os01g13570"
"435","LOC_Os01g13690"
"439","LOC_Os01g13740"
"441","LOC_Os01g13770"
"451","LOC_Os01g14410"
"454","LOC_Os01g14514"
"468","LOC_Os01g14890"
"479","LOC_Os01g15120"
"519","LOC_Os01g16170"
"556","LOC_Os01g17150"
"558","LOC_Os01g17170"
"562","LOC_Os01g17240"
"567","LOC_Os01g17390"
"568","LOC_Os01g17396"
"577","LOC_Os01g18320"
"582","LOC_Os01g18800"
"597","LOC_Os01g19740"
"620","LOC_Os01g21820"
"624","LOC_Os01g21990"
"635","LOC_Os01g22510"
"636","LOC_Os01g22520"
"645","LOC_Os01g22900"
"654","LOC_Os01g23680"
"664","LOC_Os01g24440"
"673","LOC_Os01g25010"
"675","LOC_Os01g25065"
"679","LOC_Os01g25386"
"685","LOC_Os01g25600"
"691","LOC_Os01g25820"
"693","LOC_Os01g25920"
"694","LOC_Os01g25990"
"696","LOC_Os01g26039"
"704","LOC_Os01g26970"
