GENEID,M,BS,V
ChrSy.fgenesh.gene.1,0,0,0
ChrSy.fgenesh.gene.11,0,0,0
ChrSy.fgenesh.gene.12,0,0,0
ChrSy.fgenesh.gene.13,0,0,0
ChrSy.fgenesh.gene.14,0,0,0
ChrSy.fgenesh.gene.15,0,0,0
ChrSy.fgenesh.gene.16,0,0,0
ChrSy.fgenesh.gene.17,0,0,0
ChrSy.fgenesh.gene.18,0,0,0
ChrSy.fgenesh.gene.19,0,0,0
ChrSy.fgenesh.gene.2,0,0,0
ChrSy.fgenesh.gene.20,0,0,0
ChrSy.fgenesh.gene.21,0,0,0
ChrSy.fgenesh.gene.22,0,0,0
ChrSy.fgenesh.gene.23,0,0,0
ChrSy.fgenesh.gene.24,0,0,0
ChrSy.fgenesh.gene.25,0,0,0
ChrSy.fgenesh.gene.26,0,0,0
ChrSy.fgenesh.gene.27,0,0,0
ChrSy.fgenesh.gene.28,0.3980264,0.088809,0
ChrSy.fgenesh.gene.29,0,0,0.6011295
ChrSy.fgenesh.gene.3,0,0,0
ChrSy.fgenesh.gene.30,0,0,0.119757
ChrSy.fgenesh.gene.31,0,0,0
ChrSy.fgenesh.gene.32,0,0,0
ChrSy.fgenesh.gene.33,0,0,0
ChrSy.fgenesh.gene.34,0,0,0
ChrSy.fgenesh.gene.35,0,0,0
ChrSy.fgenesh.gene.36,0,0,0
ChrSy.fgenesh.gene.37,0.2612016,0.1443388,0.39903825
ChrSy.fgenesh.gene.38,0,0,0
ChrSy.fgenesh.gene.39,0,0,0
ChrSy.fgenesh.gene.4,0,0,0
ChrSy.fgenesh.gene.40,0,0,0
ChrSy.fgenesh.gene.41,0,0,0
ChrSy.fgenesh.gene.42,0,0,0
ChrSy.fgenesh.gene.43,0,0,0
ChrSy.fgenesh.gene.44,0,0,0
ChrSy.fgenesh.gene.45,0,0,0
ChrSy.fgenesh.gene.46,0,0,0
ChrSy.fgenesh.gene.47,0,0,0
ChrSy.fgenesh.gene.48,0,0,0
ChrSy.fgenesh.gene.49,0,0,0.58815825
ChrSy.fgenesh.gene.5,0,0,0
ChrSy.fgenesh.gene.50,0,0,0
ChrSy.fgenesh.gene.51,0,0,0
ChrSy.fgenesh.gene.52,0,0,0
ChrSy.fgenesh.gene.53,0,0,0
ChrSy.fgenesh.gene.54,0,0,0
ChrSy.fgenesh.gene.55,0,0,0
ChrSy.fgenesh.gene.56,0,0,0
ChrSy.fgenesh.gene.57,0,0,0
ChrSy.fgenesh.gene.58,0,0,0
ChrSy.fgenesh.gene.59,0,0,0
ChrSy.fgenesh.gene.6,0,0,0
ChrSy.fgenesh.gene.60,0,0,0
ChrSy.fgenesh.gene.61,0,0,0
ChrSy.fgenesh.gene.62,0,0,0
ChrSy.fgenesh.gene.63,0,0,0
ChrSy.fgenesh.gene.64,0,0,0
ChrSy.fgenesh.gene.65,0,0,0
ChrSy.fgenesh.gene.66,0,0,0
ChrSy.fgenesh.gene.67,0,0,0
ChrSy.fgenesh.gene.68,0,0,0
ChrSy.fgenesh.gene.69,0.3480098,0,0.52346925
ChrSy.fgenesh.gene.7,0,0,0
ChrSy.fgenesh.gene.70,0.0756452,0.1935056,0.09843925
ChrSy.fgenesh.gene.71,0,0,0
ChrSy.fgenesh.gene.72,0,0,0
ChrSy.fgenesh.gene.73,0,0,0.238783
ChrSy.fgenesh.gene.74,0.0320246,0,0.06612175
ChrSy.fgenesh.gene.75,0.0495704,0,0
ChrSy.fgenesh.gene.76,0,0,0
ChrSy.fgenesh.gene.77,0,0,0
ChrSy.fgenesh.gene.78,0,0,0
ChrSy.fgenesh.gene.79,0,0,0
ChrSy.fgenesh.gene.8,0,0,0
ChrSy.fgenesh.gene.80,0,0,0
ChrSy.fgenesh.gene.81,0,0,0
ChrSy.fgenesh.gene.82,0,0,0
ChrSy.fgenesh.gene.83,0,0,0
ChrSy.fgenesh.gene.84,0,0,0
ChrSy.fgenesh.gene.85,0,0,0
ChrSy.fgenesh.gene.86,9.6761734,8.8960302,0.608104
ChrSy.fgenesh.gene.87,0,0,0
ChrSy.fgenesh.gene.88,0,0,0.06723175
ChrSy.fgenesh.gene.89,0,0,0
ChrUn.fgenesh.gene.1,0,0,0
ChrUn.fgenesh.gene.10,0,0,0
ChrUn.fgenesh.gene.11,0,0,0
ChrUn.fgenesh.gene.12,0,0,0
ChrUn.fgenesh.gene.13,0,0,0
ChrUn.fgenesh.gene.14,0,0,0
ChrUn.fgenesh.gene.15,0,0,0
ChrUn.fgenesh.gene.16,0,0,0
ChrUn.fgenesh.gene.17,0,0,0
ChrUn.fgenesh.gene.18,0,0,0
ChrUn.fgenesh.gene.19,0,0,0
ChrUn.fgenesh.gene.2,0,0,0
ChrUn.fgenesh.gene.20,0,0,0
ChrUn.fgenesh.gene.21,0,0,0
ChrUn.fgenesh.gene.22,0,0,0
ChrUn.fgenesh.gene.23,0,0,0
ChrUn.fgenesh.gene.24,0,0,0
ChrUn.fgenesh.gene.25,0,0,0
ChrUn.fgenesh.gene.26,0,0,0
ChrUn.fgenesh.gene.27,0,0,0
ChrUn.fgenesh.gene.28,0,0,0
ChrUn.fgenesh.gene.29,0,0,0
ChrUn.fgenesh.gene.3,0,0,0
ChrUn.fgenesh.gene.30,0,0,0
ChrUn.fgenesh.gene.31,0,0,0
ChrUn.fgenesh.gene.32,0,0,0
ChrUn.fgenesh.gene.33,0,0,0
ChrUn.fgenesh.gene.34,0.0062194,0,0.13473825
ChrUn.fgenesh.gene.35,0,0,0
ChrUn.fgenesh.gene.36,0,0,0
ChrUn.fgenesh.gene.37,0,0,0
ChrUn.fgenesh.gene.38,0,0,0
ChrUn.fgenesh.gene.39,0,0,0
ChrUn.fgenesh.gene.4,0,0,0
ChrUn.fgenesh.gene.40,0,0,0
ChrUn.fgenesh.gene.41,0,0,0
ChrUn.fgenesh.gene.42,0,0,0
ChrUn.fgenesh.gene.43,0,0,0
ChrUn.fgenesh.gene.44,0,0,0
ChrUn.fgenesh.gene.45,0,0,0
ChrUn.fgenesh.gene.46,0,0,0
ChrUn.fgenesh.gene.47,0,0,0
ChrUn.fgenesh.gene.48,0,0,0
ChrUn.fgenesh.gene.49,0,0,0
ChrUn.fgenesh.gene.5,0,0,0
ChrUn.fgenesh.gene.50,0,0,0
ChrUn.fgenesh.gene.51,0,0,0
ChrUn.fgenesh.gene.52,0,0,0
ChrUn.fgenesh.gene.53,0,0,0
ChrUn.fgenesh.gene.54,0,0,0
ChrUn.fgenesh.gene.55,0,0,0
ChrUn.fgenesh.gene.56,0,0,0
ChrUn.fgenesh.gene.57,0,0,0
ChrUn.fgenesh.gene.58,0,0,0
ChrUn.fgenesh.gene.59,0,0,0
ChrUn.fgenesh.gene.6,0,0,0
ChrUn.fgenesh.gene.60,0,0,0
ChrUn.fgenesh.gene.61,0,0,0
ChrUn.fgenesh.gene.62,0,0,0
ChrUn.fgenesh.gene.63,0,0,0
ChrUn.fgenesh.gene.64,0,0,0
ChrUn.fgenesh.gene.65,0,0,0
ChrUn.fgenesh.gene.66,0,0,0
ChrUn.fgenesh.gene.67,0,0,0
ChrUn.fgenesh.gene.68,0,0,0.02603525
ChrUn.fgenesh.gene.69,0,0,0
ChrUn.fgenesh.gene.7,0,0,0
ChrUn.fgenesh.gene.70,0,0,0
ChrUn.fgenesh.gene.75,0,0,0
ChrUn.fgenesh.gene.76,0,0,0
ChrUn.fgenesh.gene.77,0,0,0
ChrUn.fgenesh.gene.78,0,0,0
ChrUn.fgenesh.gene.79,0,0,0
ChrUn.fgenesh.gene.8,0,0,0
ChrUn.fgenesh.gene.80,0,0,0
ChrUn.fgenesh.gene.81,0,0,0
ChrUn.fgenesh.gene.82,0,0,0
ChrUn.fgenesh.gene.83,0,0,0.02661275
ChrUn.fgenesh.gene.84,0,0,0
ChrUn.fgenesh.gene.85,0,0,0
ChrUn.fgenesh.gene.86,0,0,0
ChrUn.fgenesh.gene.87,0,0,0
ChrUn.fgenesh.gene.88,0,0,0
ChrUn.fgenesh.gene.89,0,0,0
ChrUn.fgenesh.gene.9,0,0,0
ChrUn.fgenesh.gene.90,0,0,0
ChrUn.fgenesh.gene.91,0,0,0
ChrUn.fgenesh.gene.92,0,0,0
ChrUn.fgenesh.gene.93,0,0,0
ChrUn.fgenesh.gene.94,0,0,0
ChrUn.fgenesh.gene.95,0,0,0
ChrUn.fgenesh.gene.96,0.2206912,0,0.02425875
LOC_Os01g01010,3.0855008,7.9356492,9.089153
LOC_Os01g01019,0,0,0.09431675
LOC_Os01g01030,0,0,4.56856175
LOC_Os01g01040,7.579542,12.1764172,41.55085075
LOC_Os01g01050,4.590573,2.6154,3.91287625
LOC_Os01g01060,1.941794,9.5302514,24.3957445
LOC_Os01g01070,2.668691,4.6851658,8.45889525
LOC_Os01g01080,6.0242252,3.5122666,16.163563
LOC_Os01g01090,0.9984802,1.4600358,0.30454925
LOC_Os01g01100,0,0,0
LOC_Os01g01110,0,0,0
LOC_Os01g01115,0,0,0
LOC_Os01g01120,48.8162086,14.8971036,1.4038105
LOC_Os01g01130,2.5986238,2.1252948,9.99808625
LOC_Os01g01140,0,0,0
LOC_Os01g01150,20.7887112,14.9893002,43.82278625
LOC_Os01g01160,55.0864176,44.2281118,15.030756
LOC_Os01g01170,1.4717978,0,0.42958075
LOC_Os01g01180,0,0,0
LOC_Os01g01190,0.2106744,0,0
LOC_Os01g01200,0,0,0
LOC_Os01g01210,0,0,0
LOC_Os01g01230,0,0,0
LOC_Os01g01240,0,0,0
LOC_Os01g01250,0,0,0
LOC_Os01g01260,0,0,0
LOC_Os01g01270,0,0,0
LOC_Os01g01280,22.8161668,17.6581918,3.66924775
LOC_Os01g01290,0,0,0
LOC_Os01g01295,2.713495,6.006894,7.05309325
LOC_Os01g01302,29.1644574,21.4664236,4.640475
LOC_Os01g01307,6.6311018,8.8171536,32.81733175
LOC_Os01g01312,0.159186,2.1452336,3.47710475
LOC_Os01g01320,0,0,0
LOC_Os01g01330,0,0,0
LOC_Os01g01340,112.5951764,35.0403516,25.71385325
LOC_Os01g01350,0.0106748,0,0.572172
LOC_Os01g01360,0,0.0310204,0.344856
LOC_Os01g01369,1.448114,2.7146528,12.64815375
LOC_Os01g01380,1.5044356,1.5369164,1.3176855
