"","M","BS","V","fit.cluster","GENEID","cluster"
"LOC_Os01g01340",1.03600151240543,-0.0763836712521443,-0.959617841153289,"1","LOC_Os01g01340","CM"
"LOC_Os01g01890",1.15032193079604,-0.488157565192913,-0.662164365603129,"1","LOC_Os01g01890","CM"
"LOC_Os01g02700",1.14308880504747,-0.430084203770334,-0.713004601277141,"1","LOC_Os01g02700","CM"
"LOC_Os01g02710",1.01597052979452,-0.0327454181442905,-0.983225111650227,"1","LOC_Os01g02710","CM"
"LOC_Os01g03340",1.09677105439339,-0.23562373176187,-0.861147322631516,"1","LOC_Os01g03340","CM"
"LOC_Os01g03940",1.03955777788041,-0.0844747196100073,-0.955083058270405,"1","LOC_Os01g03940","CM"
"LOC_Os01g04630",1.10138187892897,-0.250327047534775,-0.851054831394198,"1","LOC_Os01g04630","CM"
"LOC_Os01g05840",0.986084312378903,0.0272734179193484,-1.01335773029825,"1","LOC_Os01g05840","CM"
"LOC_Os01g06280",0.957466761871717,0.0802326734298489,-1.03769943530157,"1","LOC_Os01g06280","CM"
"LOC_Os01g08464",1.15458705043111,-0.56327363817624,-0.591313412254868,"1","LOC_Os01g08464","CM"
"LOC_Os01g09120",1.14799859455317,-0.466414818015172,-0.681583776538005,"1","LOC_Os01g09120","CM"
"LOC_Os01g10450",1.01747749529101,-0.0359230753880706,-0.981554419902939,"1","LOC_Os01g10450","CM"
"LOC_Os01g10810",1.14997889324712,-0.484648930715183,-0.66532996253194,"1","LOC_Os01g10810","CM"
"LOC_Os01g11160",1.00407580970351,-0.00820207557629319,-0.995873734127216,"1","LOC_Os01g11160","CM"
"LOC_Os01g12200",0.989647489465534,0.0203930882083978,-1.01004057767393,"1","LOC_Os01g12200","CM"
"LOC_Os01g12530",1.10848118693739,-0.274147584533443,-0.834333602403948,"1","LOC_Os01g12530","CM"
"LOC_Os01g12810",0.943842544770568,0.104161133187706,-1.04800367795827,"1","LOC_Os01g12810","CM"
"LOC_Os01g12830",0.981703208617036,0.0356406631021848,-1.01734387171922,"1","LOC_Os01g12830","CM"
"LOC_Os01g12920",1.04396301984954,-0.0946573824875496,-0.949305637361985,"1","LOC_Os01g12920","CM"
"LOC_Os01g13120",0.960717755383162,0.0744077812458997,-1.03512553662906,"1","LOC_Os01g13120","CM"
"LOC_Os01g13570",1.01550062264926,-0.0317578071302682,-0.983742815518994,"1","LOC_Os01g13570","CM"
"LOC_Os01g14410",1.08372903056849,-0.196685516462892,-0.887043514105597,"1","LOC_Os01g14410","CM"
"LOC_Os01g14514",1.12793846170197,-0.349922226760661,-0.77801623494131,"1","LOC_Os01g14514","CM"
